City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
191,Belaya Gora,RU,2022-02-03 01:21:42,68.5333,146.4167,-28.25,100,17,2.35,few clouds
192,Pisco,PE,2022-02-03 01:21:43,-13.7,-76.2167,68.05,77,0,16.11,clear sky
193,Lesozavodsk,RU,2022-02-03 01:21:43,45.4794,133.4244,2.46,89,100,6.46,overcast clouds
194,Port Hardy,CA,2022-02-03 01:17:17,50.6996,-127.4199,37.58,93,100,14.97,light rain
195,Vestmannaeyjar,IS,2022-02-03 01:21:44,63.4427,-20.2734,29.5,83,100,14.76,overcast clouds
196,Korla,CN,2022-02-03 01:21:44,41.7597,86.1469,22.05,56,7,7.36,clear sky
197,Inhambane,MZ,2022-02-03 01:21:06,-23.865,35.3833,75.31,86,30,3.0,scattered clouds
198,Salinas,US,2022-02-03 01:20:02,36.6777,-121.6555,61.66,27,0,3.56,clear sky
199,Dicamay,PH,2022-02-03 01:21:45,16.7561,122.0037,75.87,74,9,1.48,clear sky
200,Jinchang,CN,2022-02-03 01:21:45,38.4953,102.1739,17.87,37,72,3.06,broken clouds
201,Smoky Lake,CA,2022-02-03 01:21:46,54.1169,-112.4686,-3.51,77,100,11.5,overcast clouds
202,Flinders,AU,2022-02-03 01:21:46,-34.5833,150.8552,73.8,65,56,17.65,broken clouds
203,Barranca,PE,2022-02-03 01:21:47,-10.75,-77.7667,70.84,77,24,8.86,few clouds
204,Biak,ID,2022-02-03 01:21:47,-0.9131,122.8766,82.18,64,99,2.77,overcast clouds
205,Harper,LR,2022-02-03 01:21:47,4.375,-7.7169,78.91,81,6,4.83,clear sky
206,Port Elizabeth,ZA,2022-02-03 01:21:48,-33.918,25.5701,71.1,94,75,13.8,broken clouds
207,Ust-Nera,RU,2022-02-03 01:21:48,64.5667,143.2,-12.57,99,100,2.68,overcast clouds
208,Genhe,CN,2022-02-03 01:21:49,50.7833,121.5167,-11.96,90,40,1.9,scattered clouds
209,Bandar-E Lengeh,IR,2022-02-03 01:21:49,26.5579,54.8807,68.11,55,0,5.08,clear sky
210,Airai,TL,2022-02-03 01:20:48,-8.9266,125.4092,66.76,77,99,3.47,overcast clouds
211,Lilongwe,MW,2022-02-03 01:21:50,-13.9669,33.7873,64.67,93,52,2.17,broken clouds
212,Uyuni,BO,2022-02-03 01:21:50,-20.4597,-66.825,55.56,54,3,3.85,clear sky
213,Mahibadhoo,MV,2022-02-03 01:21:15,3.7833,72.9667,81.45,72,4,10.29,clear sky
214,Dzaoudzi,YT,2022-02-03 01:21:50,-12.7887,45.2699,78.69,89,0,5.75,clear sky
215,College,US,2022-02-03 01:20:55,64.8569,-147.8028,-11.02,71,20,0.0,few clouds
216,Nantucket,US,2022-02-03 01:21:51,41.2835,-70.0995,44.65,100,100,5.86,overcast clouds
217,Saint-Philippe,RE,2022-02-03 01:21:51,-21.3585,55.7679,80.19,95,100,34.02,heavy intensity rain
218,Fort Nelson,CA,2022-02-03 01:21:52,58.8053,-122.7002,-8.01,77,100,9.22,light snow
219,Kavaratti,IN,2022-02-03 01:21:52,10.5669,72.642,79.72,71,14,10.45,few clouds
220,Mardin,TR,2022-02-03 01:20:45,37.3131,40.7436,35.73,74,100,5.19,overcast clouds
221,Viedma,AR,2022-02-03 01:21:53,-40.8135,-62.9967,71.58,47,2,6.58,clear sky
222,Gat,IL,2022-02-03 01:21:53,31.61,34.7642,56.39,53,0,2.82,clear sky
223,Ancud,CL,2022-02-03 01:16:56,-41.8697,-73.8203,58.53,89,75,3.2,broken clouds
224,Touho,NC,2022-02-03 01:21:53,-20.7833,165.2333,81.5,74,0,5.75,clear sky
225,Xining,CN,2022-02-03 01:21:54,36.6167,101.7667,11.35,62,6,1.97,clear sky
226,San Patricio,US,2022-02-03 01:21:54,28.017,-97.5169,73.49,83,100,5.95,overcast clouds
227,Mayor Pablo Lagerenza,PY,2022-02-03 01:21:55,-19.9309,-60.7718,86.16,41,60,6.69,broken clouds
228,Juneau,US,2022-02-03 01:20:54,58.3019,-134.4197,28.4,92,100,4.61,light snow
229,Lamar,US,2022-02-03 01:21:55,33.6668,-95.5836,33.46,93,100,14.97,light snow
230,Santa Engracia,ES,2022-02-03 01:21:55,41.9406,-1.3245,46.13,68,11,2.19,few clouds
231,Miramar,US,2022-02-03 01:22:56,25.9873,-80.2323,73.42,72,0,11.5,clear sky
232,Luderitz,NA,2022-02-03 01:22:56,-26.6481,15.1594,67.66,79,66,2.98,broken clouds
233,Price,US,2022-02-03 01:22:57,39.5994,-110.8107,22.26,35,0,14.97,clear sky
234,Ilhabela,BR,2022-02-03 01:22:57,-23.7781,-45.3581,75.29,90,100,4.47,overcast clouds
235,Saskylakh,RU,2022-02-03 01:22:58,71.9167,114.0833,-31.61,100,17,2.82,few clouds
236,Naze,JP,2022-02-03 01:22:58,28.3667,129.4833,54.52,85,100,23.44,overcast clouds
237,Castrillon,ES,2022-02-03 01:22:59,43.3979,-6.7922,46.94,82,100,3.78,overcast clouds
238,Suntar,RU,2022-02-03 01:22:59,62.1444,117.6319,-27.94,99,35,3.76,scattered clouds
239,Saint-Augustin,CA,2022-02-03 01:22:59,51.226,-58.6502,25.7,90,100,23.02,overcast clouds
240,Mecca,SA,2022-02-03 01:18:22,21.4267,39.8261,68.7,72,0,1.45,clear sky
241,Chuy,UY,2022-02-03 01:23:00,-33.6971,-53.4616,71.13,86,0,11.63,clear sky
