City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
547,Port Augusta,AU,76.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
548,Cidreira,BR,75.61,clear sky,-30.1811,-50.2056,Hotel Castelo
550,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
562,Florianopolis,BR,76.69,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
563,Coahuayana,MX,78.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
576,Ballesteros,PH,75.92,clear sky,18.4126,121.5152,De Leon Hotel
580,Oistins,BB,75.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
585,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
588,Samarai,PG,84.83,overcast clouds,-10.6167,150.6667,Nuli Sapi
596,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
600,Monrovia,LR,76.77,few clouds,6.3005,-10.7969,Sunset Inn
614,Mapiripan,CO,78.93,clear sky,2.8892,-72.1256,Monserrate
615,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
616,Ciudad Guayana,VE,76.51,few clouds,8.3533,-62.6528,Hotel Las Americas
617,Viesca,MX,82.76,overcast clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
618,Amboasary,MG,75.04,clear sky,-25.0333,46.3833,DISCOVERY AMBOASARY
619,Bodden Town,KY,78.01,few clouds,19.2833,-81.25,Will T Place
622,Basco,PH,75.83,few clouds,20.4487,121.9702,Nathaniel's Lodge
630,Pointe Michel,DM,77.63,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
631,Barinas,VE,86.04,clear sky,8.6226,-70.2075,Hotel Mastranto Suite
634,Imbituba,BR,78.82,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
639,Richards Bay,ZA,75.9,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
654,Brownsville,US,75.18,overcast clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
656,Noumea,NC,87.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
657,Santa Rosa,PH,82.38,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
671,Coolum Beach,AU,79.32,overcast clouds,-26.5333,153.1,Coolum Beach Resort
688,Ballina,AU,75.16,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
689,Las Lomas,PA,78.21,few clouds,8.4333,-82.4,Hotel Castilla
690,Nisia Floresta,BR,82.78,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
695,Bonoua,CI,78.42,clear sky,5.2741,-3.595,Hotel Bon Samaritian
698,Benjamin Constant,BR,75.33,heavy intensity rain,-4.3831,-70.0311,CASA AVALIADA
