City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Narsaq,GL,2022-01-30 20:52:38,60.9167,-46.05,16.59,67,100,12.91
220,Talin,EE,2022-01-30 20:59:32,59.437,24.7535,28.51,83,100,12.66
221,Sitka,US,2022-01-30 20:59:32,57.0531,-135.33,36.18,95,99,2.08
222,Nuuk,GL,2022-01-30 20:59:32,64.1835,-51.7216,3.87,81,100,11.18
223,Tateyama,JP,2022-01-30 20:59:33,34.9833,139.8667,39.22,51,100,17.27
224,Hugo,US,2022-01-30 20:56:02,45.16,-92.9933,24.42,66,100,1.01
225,Redwater,US,2022-01-30 20:59:33,33.3582,-94.2544,70.43,25,2,8.39
226,Palombara Sabina,IT,2022-01-30 20:59:34,42.0667,12.768,46.29,81,1,3.87
227,Roebourne,AU,2022-01-30 20:59:34,-20.7833,117.1333,84.7,56,64,17.63
228,Hami,CN,2022-01-30 20:52:13,42.8,93.45,23.63,41,100,1.3
229,Tocopilla,CL,2022-01-30 20:59:34,-22.092,-70.1979,69.66,65,1,5.64
230,Gat,IL,2022-01-30 20:49:59,31.61,34.7642,51.4,100,0,4.65
231,Bethel,US,2022-01-30 21:00:35,41.3712,-73.414,25.81,47,25,1.01
232,Ribeira Brava,PT,2022-01-30 21:00:35,32.65,-17.0667,65.12,42,1,9.89
233,Vardo,NO,2022-01-30 20:52:30,70.3705,31.1107,28.15,86,75,9.22
234,Fort Smith,US,2022-01-30 21:00:36,35.3859,-94.3986,64.89,23,0,4.61
235,Manacapuru,BR,2022-01-30 21:00:36,-3.2997,-60.6206,81.18,78,89,4.88
236,Mayo,US,2022-01-30 20:57:58,38.8876,-76.5119,33.37,43,40,1.01
237,Pangkalanbuun,ID,2022-01-30 21:00:37,-2.6833,111.6167,74.79,90,100,2.62
238,Rio Grande,BR,2022-01-30 21:00:37,-32.035,-52.0986,79.95,67,27,19.55
239,Ostrovnoy,RU,2022-01-30 20:51:37,68.0531,39.5131,12.61,93,99,8.19
240,Salinopolis,BR,2022-01-30 21:00:38,-0.6136,-47.3561,77.7,87,100,11.1
